Series,Title,Rating,Year
Harry Potter,Harry Potter and the Philosopher's Stone,4.47,1997
Harry Potter,Harry Potter and the Chamber of Secrets,4.42,1998
Harry Potter,Harry Potter and the Prisoner of Azkaban,4.56,1999
Harry Potter,Harry Potter and the Goblet of Fire,4.55,2000
Harry Potter,Harry Potter and the Order of the Phoenix,4.49,2003
Harry Potter,Harry Potter and the Half-Blood Prince,4.57,2005
Harry Potter,Harry Potter and the Deathly Hallows,4.61,2007
The Lord of the Rings,The Fellowship of the Ring,4.36,1954
The Lord of the Rings,The Two Towers,4.44,1954
The Lord of the Rings,The Return of the King,4.53,1955
Game of Thrones,A Game of Thrones,4.45,1996
Game of Thrones,A Clash of Kings,4.41,1998
Game of Thrones,A Storm of Swords,4.54,2000
Game of Thrones,A Feast for Crows,4.13,2005
Game of Thrones,A Dance with Dragons,4.33,2011
The Hunger Games,The Hunger Games,4.33,2008
The Hunger Games,Catching Fire,4.29,2009
The Hunger Games,Mockingjay,4.03,2010
