Date,Bitcoin (BTC)
2017-12-01,10165.01
2017-12-02,10950.0
2017-12-03,11185.08
2017-12-04,11265.5
2017-12-05,11694.96
2017-12-06,12818.08
2017-12-07,15225.0
2017-12-08,15856.32
2017-12-09,15700.48
2017-12-10,14630.75
2017-12-11,16355.55
2017-12-12,16980.36
2017-12-13,16742.08
2017-12-14,16642.59
2017-12-15,17287.56
2017-12-16,18726.43
2017-12-17,19434.5
2017-12-18,18720.23
2017-12-19,17900.0
2017-12-20,16740.68
2017-12-21,16209.95
2017-12-22,13279.48
2017-12-23,14797.5
2017-12-24,14050.0
2017-12-25,14008.0
2017-12-26,15035.5
2017-12-27,15510.5
2017-12-28,14507.4
2017-12-29,14532.3
2017-12-30,13544.6
2017-12-31,13351.1
