Commodity,Species,Type,Volume,Year
Consumption,Anchovy,Marine,31910.0486,2018
Consumption,Anchovy,Marine,36141.1229,2019
Consumption,Anchovy,Marine,60151.731,2020
Consumption,Clam,Molluscs,33575.9378,2018
Consumption,Clam,Molluscs,30715.4041,2020
Consumption,Cod,Marine,5739263.285,2018
Consumption,Cod,Marine,5497936.419,2019
Consumption,Cod,Marine,3435787.808,2020
Consumption,Crab,Crustaceans,192172.5766,2018
Consumption,Crab,Crustaceans,281812.982,2019
Consumption,Crab,Crustaceans,106187.5399,2020
Consumption,Haddock,Marine,1621138.749,2018
Consumption,Haddock,Marine,1899066.341,2019
Consumption,Haddock,Marine,988171.5934,2020
Consumption,Herring,Marine,332249.063,2018
Consumption,Herring,Marine,183714.2491,2019
Consumption,Herring,Marine,313674.4827,2020
Consumption,Mackerel,Marine,2043273.66,2018
Consumption,Mackerel,Marine,1988088.703,2019
Consumption,Mackerel,Marine,1340709.838,2020
Consumption,Mussel,Molluscs,120491.8975,2018
Consumption,Mussel,Molluscs,209415.6687,2019
Consumption,Mussel,Molluscs,447216.284,2020
Consumption,Prawn,Crustaceans,2410219.629,2018
Consumption,Prawn,Crustaceans,3149637.285,2019
Consumption,Prawn,Crustaceans,1654583.971,2020
Consumption,Scallop,Molluscs,90107.7398,2018
Consumption,Scallop,Molluscs,87833.1005,2019
Consumption,Scallop,Molluscs,246820.2116,2020
Exports,Anchovy,Marine,790083.8,2018
Exports,Anchovy,Marine,139719.9,2019
Exports,Anchovy,Marine,22919,2020
Exports,Clam,Molluscs,347091.2,2018
Exports,Clam,Molluscs,688720.4,2019
Exports,Clam,Molluscs,644656.1,2020
Exports,Cod,Marine,1397340.8,2018
Exports,Cod,Marine,1171090,2019
Exports,Cod,Marine,969126.9,2020
Exports,Crab,Crustaceans,1553624.7,2018
Exports,Crab,Crustaceans,1613654.6,2019
Exports,Crab,Crustaceans,1175085.7,2020
Exports,Haddock,Marine,130365.7,2018
Exports,Haddock,Marine,191847.7,2019
Exports,Haddock,Marine,146414.5,2020
Exports,Herring,Marine,5015588.8,2018
Exports,Herring,Marine,3412104.3,2019
Exports,Herring,Marine,3654620.4,2020
Exports,Mackerel,Marine,6612842.4,2018
Exports,Mackerel,Marine,6072030.3,2019
Exports,Mackerel,Marine,6939934.2,2020
Exports,Mussel,Molluscs,348069.4,2018
Exports,Mussel,Molluscs,343564.3,2019
Exports,Mussel,Molluscs,443493.5,2020
Exports,Prawn,Crustaceans,2087425.3,2018
Exports,Prawn,Crustaceans,1821463.8,2019
Exports,Prawn,Crustaceans,1954021.4,2020
Exports,Scallop,Molluscs,742552,2018
Exports,Scallop,Molluscs,682412.4,2019
Exports,Scallop,Molluscs,573048.3,2020
Imports,Anchovy,Marine,166997.1,2018
Imports,Anchovy,Marine,175553.7,2019
Imports,Anchovy,Marine,187577,2020
Imports,Clam,Molluscs,180759.8,2018
Imports,Clam,Molluscs,210805.6,2019
Imports,Clam,Molluscs,262640.2,2020
Imports,Cod,Marine,10158471.6,2018
Imports,Cod,Marine,10427510.2,2019
Imports,Cod,Marine,9684771.3,2020
Imports,Crab,Crustaceans,297157.1,2018
Imports,Crab,Crustaceans,285124.9,2019
Imports,Crab,Crustaceans,226216,2020
Imports,Haddock,Marine,4880981.9,2018
Imports,Haddock,Marine,4993377.4,2019
Imports,Haddock,Marine,4582258,2020
Imports,Herring,Marine,414974.4,2018
Imports,Herring,Marine,538639.3,2019
Imports,Herring,Marine,415496.4,2020
Imports,Mackerel,Marine,1335591.2,2018
Imports,Mackerel,Marine,1888861.8,2019
Imports,Mackerel,Marine,1367789,2020
Imports,Mussel,Molluscs,560266.4,2018
Imports,Mussel,Molluscs,521071.1,2019
Imports,Mussel,Molluscs,419865.7,2020
Imports,Prawn,Crustaceans,12185074.4,2018
Imports,Prawn,Crustaceans,11735871.4,2019
Imports,Prawn,Crustaceans,11864733.6,2020
Imports,Scallop,Molluscs,115320.4,2018
Imports,Scallop,Molluscs,114437.1,2019
Imports,Scallop,Molluscs,98639.5,2020
Production,Clam,Molluscs,331.8,2018
Production,Clam,Molluscs,NA,2018
Production,Clam,Molluscs,223.5,2019
Production,Clam,Molluscs,NA,2019
Production,Clam,Molluscs,624,2020
Production,Clam,Molluscs,NA,2020
Production,Cod,Marine,1727562.79,2018
Production,Cod,Marine,1449971.84,2019
Production,Cod,Marine,1237493.56,2020
Production,Crab,Crustaceans,1624234.689,2018
Production,Crab,Crustaceans,1574635.082,2019
Production,Crab,Crustaceans,1220124.344,2020
Production,Haddock,Marine,1782956.495,2018
Production,Haddock,Marine,1687621.2,2019
Production,Haddock,Marine,1442685.855,2020
Production,Herring,Marine,6086519.945,2018
Production,Herring,Marine,4452067.613,2019
Production,Herring,Marine,4521841.149,2020
Production,Mackerel,Marine,8208550.824,2018
Production,Mackerel,Marine,6542315.935,2019
Production,Mackerel,Marine,8785166.217,2020
Production,Mussel,Molluscs,12908.208,2018
Production,Mussel,Molluscs,3130.98,2019
Production,Mussel,Molluscs,NA,2020
Production,Mussel,Molluscs,427410,2018
Production,Mussel,Molluscs,397905,2019
Production,Mussel,Molluscs,271720.5,2020
Production,Prawn,Crustaceans,108571.824,2018
Production,Prawn,Crustaceans,31321.467,2019
Production,Prawn,Crustaceans,56251.566,2020
Production,Scallop,Molluscs,876402.858,2018
Production,Scallop,Molluscs,875377.281,2019
Production,Scallop,Molluscs,752203.662,2020
Production,Scallop,Molluscs,30,2018
Production,Scallop,Molluscs,120,2018
Production,Scallop,Molluscs,30,2019
Production,Scallop,Molluscs,90,2019
Production,Scallop,Molluscs,6,2020
Production,Scallop,Molluscs,68.4,2020
